Organism	Feature_A	Feature_B	Mutual_Information
Homo sapiens	freq_H	freq_L	0.0965
Homo sapiens	freq_H	freq_M	0.4887
Homo sapiens	freq_H	freq_N	0.2879
Homo sapiens	freq_H	freq_P	0.2094
Homo sapiens	freq_H	freq_Q	0.2644
Homo sapiens	freq_H	freq_R	0.1798
Homo sapiens	freq_H	freq_S	0.1415
Homo sapiens	freq_H	freq_T	0.2199
Homo sapiens	freq_H	freq_V	0.1775
Homo sapiens	freq_H	freq_W	0.5429
Homo sapiens	freq_H	freq_Y	0.3917
Homo sapiens	freq_I	freq_K	0.1735
Homo sapiens	freq_I	freq_L	0.0828
Homo sapiens	freq_I	freq_M	0.3535
Homo sapiens	freq_I	freq_N	0.3313
Homo sapiens	freq_I	freq_P	0.2409
Homo sapiens	freq_I	freq_Q	0.1779
Homo sapiens	freq_I	freq_R	0.2015
Homo sapiens	freq_I	freq_S	0.1322
Homo sapiens	freq_I	freq_T	0.1838
Homo sapiens	freq_I	freq_V	0.1659
Homo sapiens	freq_I	freq_W	0.2413
Homo sapiens	freq_I	freq_Y	0.2866
Homo sapiens	freq_K	freq_L	0.13
Homo sapiens	freq_K	freq_M	0.2157
Homo sapiens	freq_K	freq_N	0.2204
Homo sapiens	freq_K	freq_P	0.1568
Homo sapiens	freq_K	freq_Q	0.1344
Homo sapiens	freq_K	freq_R	0.1249
Homo sapiens	freq_K	freq_S	0.0716
Homo sapiens	freq_K	freq_T	0.1045
Homo sapiens	freq_K	freq_V	0.0964
Homo sapiens	freq_K	freq_W	0.2103
Homo sapiens	freq_K	freq_Y	0.1461
Homo sapiens	freq_L	freq_M	0.1269
Homo sapiens	freq_L	freq_N	0.1098
Homo sapiens	freq_L	freq_P	0.0734
Homo sapiens	freq_L	freq_Q	0.0772
Homo sapiens	freq_L	freq_R	0.0731
Homo sapiens	freq_L	freq_S	0.0952
Homo sapiens	freq_L	freq_T	0.1054
Homo sapiens	freq_L	freq_V	0.1139
Homo sapiens	freq_L	freq_W	0.1083
Homo sapiens	freq_L	freq_Y	0.0926
Homo sapiens	freq_M	freq_N	0.4292
Homo sapiens	freq_M	freq_P	0.2317
Homo sapiens	freq_M	freq_Q	0.2844
Homo sapiens	freq_M	freq_R	0.2217
Homo sapiens	freq_M	freq_S	0.1673
Homo sapiens	freq_M	freq_T	0.2777
Homo sapiens	freq_M	freq_V	0.1821
Homo sapiens	freq_M	freq_W	0.585
Homo sapiens	freq_M	freq_Y	0.455
Homo sapiens	freq_N	freq_P	0.208
Homo sapiens	freq_N	freq_Q	0.2142
Homo sapiens	freq_N	freq_R	0.2073
Homo sapiens	freq_N	freq_S	0.0935
Homo sapiens	freq_N	freq_T	0.2119
Homo sapiens	freq_N	freq_V	0.1379
Homo sapiens	freq_N	freq_W	0.3544
Homo sapiens	freq_N	freq_Y	0.3101
Homo sapiens	freq_P	freq_Q	0.1289
Homo sapiens	freq_P	freq_R	0.1136
Homo sapiens	freq_P	freq_S	0.1193
Homo sapiens	freq_P	freq_T	0.1232
Homo sapiens	freq_P	freq_V	0.1207
Homo sapiens	freq_P	freq_W	0.2287
Homo sapiens	freq_P	freq_Y	0.1959
Homo sapiens	freq_Q	freq_R	0.1418
Homo sapiens	freq_Q	freq_S	0.0883
Homo sapiens	freq_Q	freq_T	0.1875
Homo sapiens	freq_Q	freq_V	0.1642
Homo sapiens	freq_Q	freq_W	0.294
Homo sapiens	freq_Q	freq_Y	0.2526
Homo sapiens	freq_R	freq_S	0.1049
Homo sapiens	freq_R	freq_T	0.1822
Homo sapiens	freq_R	freq_V	0.124
Homo sapiens	freq_R	freq_W	0.1972
Homo sapiens	freq_R	freq_Y	0.182
Homo sapiens	freq_S	freq_T	0.1273
Homo sapiens	freq_S	freq_V	0.1175
Homo sapiens	freq_S	freq_W	0.1597
Homo sapiens	freq_S	freq_Y	0.1379
Homo sapiens	freq_T	freq_V	0.167
Homo sapiens	freq_T	freq_W	0.2156
Homo sapiens	freq_T	freq_Y	0.2202
Homo sapiens	freq_V	freq_W	0.1548
Homo sapiens	freq_V	freq_Y	0.1705
Homo sapiens	freq_W	freq_Y	0.4719
Mus musculus	entropy	hydrophobicity	0.1112
Mus musculus	entropy	freq_A	0.1618
Mus musculus	entropy	freq_C	0.1149
Mus musculus	entropy	freq_D	0.0681
Mus musculus	entropy	freq_E	0.1413
Mus musculus	entropy	freq_F	0.1508
Mus musculus	entropy	freq_G	0.1067
Mus musculus	entropy	freq_H	0.0885
Mus musculus	entropy	freq_I	0.169
Mus musculus	entropy	freq_K	0.115
Mus musculus	entropy	freq_L	0.1319
Mus musculus	entropy	freq_M	0.0772
Mus musculus	entropy	freq_N	0.1415
Mus musculus	entropy	freq_P	0.1306
Mus musculus	entropy	freq_Q	0.0791
Mus musculus	entropy	freq_R	0.0836
Mus musculus	entropy	freq_S	0.0824
Mus musculus	entropy	freq_T	0.0496
Mus musculus	entropy	freq_V	0.087
Mus musculus	entropy	freq_W	0.1178
Mus musculus	entropy	freq_Y	0.1934
Mus musculus	hydrophobicity	freq_A	0.0302
Mus musculus	hydrophobicity	freq_C	0.0811
Mus musculus	hydrophobicity	freq_D	0.1531
Mus musculus	hydrophobicity	freq_E	0.2803
Mus musculus	hydrophobicity	freq_F	0.179
Mus musculus	hydrophobicity	freq_G	0.0275
Mus musculus	hydrophobicity	freq_H	0.0424
Mus musculus	hydrophobicity	freq_I	0.1377
Mus musculus	hydrophobicity	freq_K	0.1398
Mus musculus	hydrophobicity	freq_L	0.1875
Mus musculus	hydrophobicity	freq_M	0.0206
Mus musculus	hydrophobicity	freq_N	0.0106
Mus musculus	hydrophobicity	freq_P	0.0928
Mus musculus	hydrophobicity	freq_Q	0.0964
Mus musculus	hydrophobicity	freq_R	0.0998
Mus musculus	hydrophobicity	freq_S	0.0545
Mus musculus	hydrophobicity	freq_T	0.0331
Mus musculus	hydrophobicity	freq_V	0.2262
Mus musculus	hydrophobicity	freq_W	0.0724
Mus musculus	hydrophobicity	freq_Y	0.0528
Mus musculus	freq_A	freq_C	0.0368
Mus musculus	freq_A	freq_D	0.0745
Mus musculus	freq_A	freq_E	0.0603
Mus musculus	freq_A	freq_F	0.0763
Mus musculus	freq_A	freq_G	0.116
Mus musculus	freq_A	freq_H	0.057
Mus musculus	freq_A	freq_I	0.1047
Mus musculus	freq_A	freq_K	0.0987
Mus musculus	freq_A	freq_L	0.0349
Mus musculus	freq_A	freq_M	0.0633
Mus musculus	freq_A	freq_N	0.1359
Mus musculus	freq_A	freq_P	0.0497
Mus musculus	freq_A	freq_Q	0.0398
Mus musculus	freq_A	freq_R	0.0579
Mus musculus	freq_A	freq_S	0.0436
Mus musculus	freq_A	freq_T	0.069
Mus musculus	freq_A	freq_V	0.0626
Mus musculus	freq_A	freq_W	0.0654
Mus musculus	freq_A	freq_Y	0.0768
Mus musculus	freq_C	freq_D	0.0969
Mus musculus	freq_C	freq_E	0.0853
Mus musculus	freq_C	freq_F	0.143
Mus musculus	freq_C	freq_G	0.0548
Mus musculus	freq_C	freq_H	0.2326
Mus musculus	freq_C	freq_I	0.0714
Mus musculus	freq_C	freq_K	0.0812
Mus musculus	freq_C	freq_L	0.0463
Mus musculus	freq_C	freq_M	0.2356
Mus musculus	freq_C	freq_N	0.1071
Mus musculus	freq_C	freq_P	0.0902
Mus musculus	freq_C	freq_Q	0.0991
Mus musculus	freq_C	freq_R	0.0524
Mus musculus	freq_C	freq_S	0.0429
Mus musculus	freq_C	freq_T	0.0437
Mus musculus	freq_C	freq_V	0.0418
Mus musculus	freq_C	freq_W	0.3889
Mus musculus	freq_C	freq_Y	0.1826
Mus musculus	freq_D	freq_E	0.1665
Mus musculus	freq_D	freq_F	0.1324
Mus musculus	freq_D	freq_G	0.0767
Mus musculus	freq_D	freq_H	0.1148
Mus musculus	freq_D	freq_I	0.0949
Mus musculus	freq_D	freq_K	0.1245
Mus musculus	freq_D	freq_L	0.0549
Mus musculus	freq_D	freq_M	0.1723
Mus musculus	freq_D	freq_N	0.101
